SchoolYear,County_Name,District_BEDS_Code,District_Name,School_BEDS_Code,Location_Name,Public_Immigrant_Student_Cnt
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060007,BETHLEHEM CENTRAL MIDDLE SCHOOL,s
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060008,BETHLEHEM CENTRAL SENIOR HIGH SCHOOL,9
06/30/2021,ALBANY,010306060000,BETHLEHEM CSD,010306060009,EAGLE ELEMENTARY SCHOOL,5
06/30/2021,ALBANY,010402060000,RAVENA-COEYMANS-SELKIRK CSD,010402060001,RAVENA-COEYMANS-SELKIRK SR HS,s
06/30/2021,ALBANY,010402060000,RAVENA-COEYMANS-SELKIRK CSD,010402060002,ALBERTUS W BECKER SCHOOL,s
06/30/2021,ALBANY,010402060000,RAVENA-COEYMANS-SELKIRK CSD,010402060003,PIETER B COEYMANS SCHOOL,s
06/30/2021,ALBANY,010402060000,RAVENA-COEYMANS-SELKIRK CSD,010402060008,RAVENA-COEYMANS-SELKIRK MID SCH,s
06/30/2021,ALBANY,010500010000,COHOES CITY SD,010500010005,ABRAM LANSING SCHOOL,s
06/30/2021,ALBANY,010500010000,COHOES CITY SD,010500010008,COHOES MIDDLE SCHOOL,5
06/30/2021,ALBANY,010500010000,COHOES CITY SD,010500010009,HARMONY HILL SCHOOL,6
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060003,ROESSLEVILLE SCHOOL,s
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060005,SADDLEWOOD ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060006,SHAKER ROAD ELEMENTARY SCHOOL,6
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060008,COLONIE CENTRAL HIGH SCHOOL,26
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060010,FOREST PARK ELEMENTARY SCHOOL,6
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060011,VEEDER ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060012,SAND CREEK MIDDLE SCHOOL,19
06/30/2021,ALBANY,010601060000,SOUTH COLONIE CSD,010601060013,LISHA KILL MIDDLE SCHOOL,s
06/30/2021,ALBANY,010615020000,MENANDS UFSD,010615020001,MENANDS SCHOOL,49
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060002,BLUE CREEK SCHOOL,33
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060003,BOGHT HILLS SCHOOL,28
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060004,FORTS FERRY SCHOOL,33
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060006,LATHAM RIDGE SCHOOL,11
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060007,LOUDONVILLE SCHOOL,9
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060008,SOUTHGATE SCHOOL,21
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060009,SHAKER JUNIOR HIGH SCHOOL,28
06/30/2021,ALBANY,010623060000,NORTH COLONIE CSD,010623060010,SHAKER HIGH SCHOOL,47
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060001,ALTAMONT ELEMENTARY SCHOOL,5
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060003,GUILDERLAND ELEMENTARY SCHOOL,42
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060004,WESTMERE ELEMENTARY SCHOOL,43
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060005,GUILDERLAND HIGH SCHOOL,36
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060007,LYNNWOOD ELEMENTARY SCHOOL,5
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060008,FARNSWORTH MIDDLE SCHOOL,42
06/30/2021,ALBANY,010802060000,GUILDERLAND CSD,010802060009,PINE BUSH ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,011003060000,VOORHEESVILLE CSD,011003060001,VOORHEESVILLE ELEMENTARY SCHOOL,s
06/30/2021,ALBANY,011200010000,WATERVLIET CITY SD,011200010002,WATERVLIET ELEMENTARY SCHOOL,39
06/30/2021,ALBANY,011200010000,WATERVLIET CITY SD,011200010010,WATERVLIET JUNIOR-SENIOR HIGH SCHOOL,23
06/30/2021,ALBANY,011200010000,WATERVLIET CITY SD,011200010666,PK - WATERVLIET CITY SD,6
06/30/2021,ALBANY,019000000000,CAPITAL REGION BOCES,019000000000,CAPITAL REGION BOCES,s
06/30/2021,ALLEGANY,020801040000,BELFAST CSD,020801040001,BELFAST SCHOOL,s
06/30/2021,ALLEGANY,022001040000,FILLMORE CSD,022001040001,FILLMORE CENTRAL SCHOOL,s
06/30/2021,ALLEGANY,022101040000,WHITESVILLE CSD,022101040001,WHITESVILLE CENTRAL SCHOOL,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010001,PS 1 COURTLANDT SCHOOL,34
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010005,PS 5 PORT MORRIS,80
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010018,PS 18 JOHN PETER ZENGER,32
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010025,PS 25 BILINGUAL SCHOOL,53
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010029,PS/MS 29 MELROSE SCHOOL,63
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010030,PS 30 WILTON,43
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010031,PS/MS 31 WILLIAM LLOYD GARRISON,42
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010043,PS 43 JONAS BRONCK,25
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010049,PS 49 WILLIS AVENUE,33
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010065,PS 65 MOTHER HALE ACADEMY,27
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010151,JHS 151 LOU GEHRIG,23
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010154,PS 154 JONATHAN D HYATT,24
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010157,PS 157 GROVE HILL,22
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010161,PS 161 JUAN PONCE DE LEON SCHOOL,32
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010179,PS 179,11
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010223,LAB SCHOOL OF FIN & TECH: X223,5
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010224,PS/IS 224,22
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010277,PS 277,20
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010296,SO BRONX ACADEMY-APPLIED MEDIA,10
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010298,ACADEMY OF PUBLIC RELATIONS,18
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010343,ACADEMY OF APPLIED MATH AND TECH,6
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,19
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010369,YOUNG LEADERS ELEMENTARY SCHOOL,12
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010584,IS 584,36
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700010666,PK - NYC GEO DIST # 7 - BRONX,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011221,SOUTH BRONX PREPARATORY,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011259,HERO HIGH SCHOOL,11
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011334,INTERNATIONAL COMMUNITY HIGH SCHOOL,251
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011381,BRONX HAVEN HIGH SCHOOL,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011427,COMMUNITY SCHOOL-SOCIAL JUSTICE,17
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,10
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011495,UNIVERSITY HEIGHTS SECONDARY SCHOOL,13
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011522,BRONX DESIGN-CONSTRUCTION ACADEMY,13
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011527,BRONX LEADERSHIP ACAD II HIGH SCHOOL,10
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011548,CAREERS IN SPORTS HS,20
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011551,URBAN ASSEMBLY BRONX OF LETTERS,19
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011557,MOTT HAVEN COMMUNITY HIGH SCHOOL,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011600,ALFRED E SMITH CAREER-TECH HIGH SCH,26
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011625,WALKABOUT BRONX HIGH SCHOOL,s
06/30/2021,BRONX,320700010000,NYC GEOG DIST # 7 - BRONX,320700011670,HEALTH OPPORTUNITIES HIGH SCHOOL,20
06/30/2021,BRONX,320700860820,KIPP ACADEMY CHARTER SCHOOL,320700860820,KIPP ACADEMY CHARTER SCHOOL,14
06/30/2021,BRONX,320700860852,BRONX CHARTER SCHOOL FOR CHILDREN,320700860852,BRONX CHARTER SCHOOL FOR CHILDREN,17
06/30/2021,BRONX,320700860889,SOUTH BRONX CHARTER SCHOOL,320700860889,SOUTH BRONX CHARTER SCHOOL,23
06/30/2021,BRONX,320700860915,BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,320700860915,BGLIG-SHIRLEY RODRIGUEZ-REMENESKI CS,18
06/30/2021,BRONX,320700860920,UNIVERSITY PREP CHARTER HIGH SCHOOL,320700860920,UNIVERSITY PREP CHARTER HIGH SCHOOL,s
06/30/2021,BRONX,320700860925,MOTT HAVEN ACADEMY CHARTER SCHOOL,320700860925,MOTT HAVEN ACADEMY CHARTER SCHOOL,10
06/30/2021,BRONX,320700860926,NYC CHARTER HS - AECI,320700860926,NYC CHARTER HS - AECI,9
06/30/2021,BRONX,320700860957,ACADEMIC LEADERSHIP CHARTER SCHOOL,320700860957,ACADEMIC LEADERSHIP CHARTER SCHOOL,40
06/30/2021,BRONX,320700860981,SUCCESS ACADEMY CHARTER-BRONX 1,320700860981,SUCCESS ACADEMY CHARTER-BRONX 1,17
06/30/2021,BRONX,320700860994,BOYS PREP CHARTER SCHOOL OF NY,320700860994,BOYS PREP CHARTER SCHOOL OF NY,19
06/30/2021,BRONX,320700861005,NYC MONTESSORI CHARTER SCHOOL,320700861005,NYC MONTESSORI CHARTER SCHOOL,10
06/30/2021,BRONX,320700861014,BRILLA COLLEGE PREP CHARTER,320700861014,BRILLA COLLEGE PREP CHARTER,16
06/30/2021,BRONX,320700861018,NEW VISIONS CHARTER HS-HUMANITIES II,320700861018,NEW VISIONS CHARTER HS-HUMANITIES II,22
06/30/2021,BRONX,320700861028,FAMILY LIFE ACADEMY CHARTER SCH II,320700861028,FAMILY LIFE ACADEMY CHARTER SCH II,34
06/30/2021,BRONX,320700861035,SOUTH BRONX CLASSICAL CHARTER II,320700861035,SOUTH BRONX CLASSICAL CHARTER II,10
06/30/2021,BRONX,320700861062,AMERICAN DREAM CHARTER SCHOOL,320700861062,AMERICAN DREAM CHARTER SCHOOL,37
06/30/2021,BRONX,320700861070,FAMILY LIFE ACADEMY CHARTER SCH III,320700861070,FAMILY LIFE ACADEMY CHARTER SCH III,13
06/30/2021,BRONX,320700861080,STOREFRONT ACADEMY CHARTER SCHOOL,320700861080,STOREFRONT ACADEMY CHARTER SCHOOL,11
06/30/2021,BRONX,320700861100,SOUTH BRONX COMMUNITY CHARTER HIGH S,320700861100,SOUTH BRONX COMMUNITY CHARTER HIGH S,5
06/30/2021,BRONX,320700861106,BRILLA VERITAS CHARTER SCHOOL,320700861106,BRILLA VERITAS CHARTER SCHOOL,18
06/30/2021,BRONX,320700861114,LEGACY COLLEGE PREPARATORY CHARTER,320700861114,LEGACY COLLEGE PREPARATORY CHARTER,15
06/30/2021,BRONX,320700861135,KIPP FREEDOM CHARTER SCHOOL,320700861135,KIPP FREEDOM CHARTER SCHOOL,13
06/30/2021,BRONX,320700861137,NEIGHBORHOOD CHARTER SCHOOL  - BRONX,320700861137,NEIGHBORHOOD CHARTER SCHOOL  - BRONX,21
06/30/2021,BRONX,320700861139,URBAN DOVE TEAM CHARTER SCHOOL II,320700861139,URBAN DOVE TEAM CHARTER SCHOOL II,s
06/30/2021,BRONX,320700861141,ZETA CHARTER SCHOOL - BRONX 1,320700861141,ZETA CHARTER SCHOOL - BRONX 1,13
06/30/2021,BRONX,320700861145,CREO COLLEGE PREP CHARTER SCHOOL,320700861145,CREO COLLEGE PREP CHARTER SCHOOL,13
06/30/2021,BRONX,320700861154,AECI II:  NYC CHARTER HS-COMP ENGIN,320700861154,AECI II:  NYC CHARTER HS-COMP ENGIN,11
06/30/2021,BRONX,320700861167,DREAM CHARTER SCHOOL MOTT HAVEN,320700861167,DREAM CHARTER SCHOOL MOTT HAVEN,s
06/30/2021,BRONX,320700861173,UNIVERSITY PREP CHARTER MIDDLE SCHOO,320700861173,UNIVERSITY PREP CHARTER MIDDLE SCHOO,12
06/30/2021,BRONX,320700861179,GIRLS PREP CHARTER SCHOOL - BRONX II,320700861179,GIRLS PREP CHARTER SCHOOL - BRONX II,s
06/30/2021,BRONX,320700861181,ZETA CHARTER SCHOOL - BRONX 3,320700861181,ZETA CHARTER SCHOOL - BRONX 3,s
06/30/2021,BRONX,320700861182,ZETA CHARTER SCHOOL - BRONX 2,320700861182,ZETA CHARTER SCHOOL - BRONX 2,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010014,PS 14 SENATOR JOHN CALANDRA,24
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010036,PS 36 UNIONPORT,101
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010048,PS 48 JOSEPH R DRAKE,85
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010062,PS 62 INOCENSIO CASANOVA,62
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010069,PS 69 JOURNEY PREP SCHOOL,40
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010071,PS 71 ROSE E SCALA,93
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010072,PS 72 DR WILLIAM DORNEY,39
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010075,PS 75 SCHOOL OF RESEARCH-DISCOVERY,44
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010093,PS 93 ALBERT G OLIVER,23
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010100,PS 100 ISAAC CLASON,28
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010101,MS 101 EDWARD R BYRNE,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010107,PS 107,8
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010119,DR EMMETT W BASSETT SCHOOL (THE),79
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010123,JHS 123 JAMES M KIERNAN,39
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010130,PS 130 ABRAM STEVENS HEWITT,27
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010131,JHS 131 ALBERT EINSTEIN,11
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010138,PS 138 SAMUEL RANDALL,13
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010140,PS 140 EAGLE SCHOOL (THE),30
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010146,PS 146 EDWARD COLLINS,32
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010152,PS 152 EVERGREEN,75
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010182,PS 182,34
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010301,MS 301 PAUL L DUNBAR,18
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010302,MS 302 LUISA DESSUS CRUZ,37
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010304,PS 304 EARLY CHILDHOOD SCHOOL,14
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010312,MILLENIUM ART ACADEMY,11
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010333,LONGWOOD ACADEMY FOR DISCOVERY,51
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010337,SCHOOL FOR INQUIRY & SOCIAL JUSTICE,19
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010371,URBAN INSTITUTE OF MATHEMATICS,13
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010375,BRONX MATHEMATICS PREP SCH (THE),13
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010392,BRONX DELTA SCHOOL,20
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010424,HUNTS POINT SCHOOL (THE),42
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010448,SOUNDVIEW ACADEMY,15
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010467,MOTT HALL COMMUNITY SCHOOL,25
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010562,BLUEPRINT MIDDLE SCHOOL,67
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010583,PS 583,39
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010666,PK - NYC GEO DIST # 8 - BRONX,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800010777,HB - NYC GEO DIST # 8 - BRONX,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011269,BRONX STUDIO SCHOOL-WRITERS-ARTISTS,20
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011282,WOMEN'S ACADEMY OF EXCELLENCE,30
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011293,RENAISSANCE HIGH SCHOOL-MTA,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011320,PELHAM LAB HIGH SCHOOL,30
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011348,SCHUYLERVILLE PREP HIGH SCHOO,26
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011349,BRONX RIVER HIGH SCHOOL,27
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011367,"ARCHIMEDES ACAD-MATH, SCI, TECH",25
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011376,ANTONIA PANTOJA PREP ACADEMY,41
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011377,BRONX COMMUNITY HIGH SCHOOL,s
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011405,HERBERT H LEHMAN HIGH SCHOOL,70
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011432,BRONX BRIDGES HIGH SCHOOL,243
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011452,GOTHAM COLLABORATIVE HIGH SCHOOL,37
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011530,LONGWOOD PREPARATORY ACADEMY,12
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011558,WESTCHESTER SQUARE ACADEMY,27
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011559,SCHOOL FOR TOURISM AND HOSPITALITY,22
06/30/2021,BRONX,320800010000,NYC GEOG DIST # 8 - BRONX,320800011561,BRONX COMPASS HIGH SCHOOL,29
06/30/2021,BRONX,320800860846,BRONX CHARTER SCHOOL FOR THE ARTS,320800860846,BRONX CHARTER SCHOOL FOR THE ARTS,7
06/30/2021,BRONX,320800860872,GRAND CONCOURSE ACAD CHARTER SCH,320800860872,GRAND CONCOURSE ACAD CHARTER SCH,18
06/30/2021,BRONX,320800860903,HYDE LEADERSHIP CHARTER SCHOOL,320800860903,HYDE LEADERSHIP CHARTER SCHOOL,27
06/30/2021,BRONX,320800860940,GIRLS PREP CHARTER SCH-BRONX,320800860940,GIRLS PREP CHARTER SCH-BRONX,16
06/30/2021,BRONX,320800861017,NEW VISIONS CHTR HS-ADV MA/SCI II,320800861017,NEW VISIONS CHTR HS-ADV MA/SCI II,18
06/30/2021,BRONX,320800861030,ICAHN CHARTER SCHOOL 7,320800861030,ICAHN CHARTER SCHOOL 7,10
06/30/2021,BRONX,320800861044,SUCCESS ACAD CHARTER SCH-BRONX 3,320800861044,SUCCESS ACAD CHARTER SCH-BRONX 3,36
06/30/2021,BRONX,320800861068,SOUTH BRONX EARLY COLLEGE ACADEMY CS,320800861068,SOUTH BRONX EARLY COLLEGE ACADEMY CS,21
06/30/2021,BRONX,320800861074,SUCCESS ACADEMY CS - BRONX 4,320800861074,SUCCESS ACADEMY CS - BRONX 4,28
06/30/2021,BRONX,320800861126,EMBLAZE ACADEMY CHARTER SCHOOL,320800861126,EMBLAZE ACADEMY CHARTER SCHOOL,15
06/30/2021,BRONX,320800861143,BOLD CHARTER SCHOOL,320800861143,BOLD CHARTER SCHOOL,11
06/30/2021,BRONX,320800861155,BRONX ARTS AND SCIENCE CHARTER,320800861155,BRONX ARTS AND SCIENCE CHARTER,12
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010004,PS/MS 4 CROTONA PARK WEST,30
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010011,PS 11 HIGHBRIDGE,77
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010022,JHS 22 JORDAN L MOTT,55
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010028,PS 28 MOUNT HOPE,105
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010035,PS 35 FRANZ SIEGEL,61
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010042,PS 42 CLAREMONT,30
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010053,PS 53 BASHEER QUISIM,132
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010055,PS 55 BENJAMIN FRANKLIN,28
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010058,PS 58,46
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010063,PS 63 AUTHOR'S ACADEMY,66
06/30/2021,BRONX,320900010000,NYC GEOG DIST # 9 - BRONX,320900010070,PS 70 MAX SCHOENFELD,125
